room_count,bathroom_count,size,price,city,region
3.0,3.0,182.0,400.0,Ariana,Ennasr
1.0,1.0,71.0,220.0,Tunis,L Aouina
1.0,1.0,52.0,135.0,Ben Arous,El Mourouj 6
2.0,1.0,92.0,290.0,Tunis,Ain Zaghouen
3.0,2.0,201.0,495.0,Ariana,Cit Ennasr 2
2.0,1.0,117.0,368.0,Tunis,L Aouina
4.0,2.0,200.0,380.0,Ariana,La Soukra
3.0,2.0,146.0,440.0,Ariana,Ennasr
3.0,2.0,136.0,340.0,Ariana,La Soukra
1.0,1.0,75.0,165.0,Tunis,L Aouina
2.0,1.0,160.0,550.0,Tunis,Jardins De Carthage
1.0,2.0,120.0,360.0,Ariana,Ennasr
3.0,1.0,90.0,90.0,Ariana,Ariana
4.0,1.0,198.0,495.0,Tunis,El Manar 2
1.0,1.0,78.0,155.0,Ben Arous,Ben Arous
2.0,1.0,130.0,390.0,Ariana,Les Jardins El_Menzah_2
1.0,1.0,69.0,237.0,Ariana,Chotrana 1
1.0,1.0,90.0,168.999,Tunis,L Aouina
2.0,1.0,80.0,130.0,Ben Arous,Fouchana
2.0,1.0,106.0,200.0,La Manouba,La Manouba
3.0,1.0,152.0,440.0,Tunis,Ain Zaghouen
3.0,3.0,147.0,338.0,Ben Arous,Medina Jedida
3.0,2.0,120.0,298.0,Ariana,Ariana Essoughra
4.0,3.0,170.0,255.0,Ben Arous,Ezzahra
3.0,2.0,150.0,358.0,Tunis,L Aouina
3.0,3.0,162.0,490.0,Ariana,Ghazela
2.0,2.0,187.5,430.0,Tunis,Ain Zaghouen
3.0,1.0,120.0,380.0,Tunis,Gammarth
1.0,1.0,70.0,180.0,Tunis,L Aouina
1.0,1.0,70.0,129.999,Ben Arous,Rads
1.0,1.0,45.0,160.0,Tunis,L Aouina
2.0,1.0,93.0,135.0,Ben Arous,Mgrine
2.0,1.0,75.0,200.0,Ben Arous,Mgrine
1.0,1.0,56.0,180.0,Tunis,Ain Zaghouan Nord
2.0,1.0,95.0,235.0,Ariana,Cite Ennkhilet
2.0,1.0,118.0,400.0,Tunis,Ain Zaghouan Nord
3.0,2.0,142.0,315.0,Tunis,Ain Zaghouen
